system_id,query_runs,failed_runs,skipped_runs,quality_score,routing_score,retrieval_score,answer_score,map_score,query_duration_ms_mean,tool_calls_mean,index_model_calls,query_model_calls,total_model_calls,input_tokens,output_tokens,total_tokens,estimated_cost,issues
agentic_map,60,0,0,0.7381473929897322,0.8229166666666667,0.5822916666666667,0.5473812386255953,1.0,30835.271106862154,2.0,388,180,568,2167239,1064813,3232052,,citation_precision=0.4576; citation_recall=0.6333; citation_support_rate=0.3978; document_recall_at_1=0.5472; document_recall_at_3=0.9306; mrr=0.9472; required_document_coverage=0.8667; segment_recall_at_4=0.5778
flat_vector,60,0,0,0.5840866417795432,0.675,0.5513888888888889,0.5258710364497405,,16575.407977052964,1.0,22,120,142,1741926,129414,1871340,,citation_precision=0.4028; citation_recall=0.6000; citation_support_rate=0.3577; document_recall_at_1=0.4778; document_recall_at_3=0.7889; mrr=0.8500; required_document_coverage=0.5833; segment_recall_at_4=0.5389
hierarchical_map,60,0,0,0.7173511623531124,0.7763888888888889,0.5607638888888888,0.5322518716346718,1.0,30291.25099592687,2.0,514,180,694,2666899,1106777,3773676,,citation_precision=0.4103; citation_recall=0.6097; citation_support_rate=0.3596; document_recall_at_1=0.5250; document_recall_at_3=0.8944; mrr=0.9361; required_document_coverage=0.7500; segment_recall_at_4=0.5611
map_reduce,60,0,0,0.7293330080179522,0.8048611111111111,0.5697916666666667,0.542679254294031,1.0,34180.540520899616,2.0,644,354,998,3649745,1264937,4914682,,citation_precision=0.4093; citation_recall=0.5917; citation_support_rate=0.4307; document_recall_at_1=0.5417; document_recall_at_3=0.9222; mrr=0.9389; required_document_coverage=0.8167; segment_recall_at_4=0.5667
outline_then_fill,60,0,0,0.7161844602222214,0.7611111111111111,0.5736111111111112,0.5300156186666631,1.0,30276.155894459225,2.0,531,180,711,3696206,1286935,4983141,,citation_precision=0.3795; citation_recall=0.5722; citation_support_rate=0.4177; document_recall_at_1=0.5194; document_recall_at_3=0.8889; mrr=0.9194; required_document_coverage=0.7167; segment_recall_at_4=0.5722
refine,60,0,0,0.7258072377974435,0.775,0.5736111111111111,0.554617840078663,1.0,32661.617907586817,2.0,528,309,837,3404634,1513239,4917873,,citation_precision=0.4523; citation_recall=0.6694; citation_support_rate=0.4053; document_recall_at_1=0.5111; document_recall_at_3=0.9000; mrr=0.9222; required_document_coverage=0.7667; segment_recall_at_4=0.5639
stuffing,60,0,0,0.6697705165386527,0.6229166666666667,0.5916666666666667,0.5499550820276268,0.9145436507936507,34385.611971506536,2.0,73,357,430,1769872,481191,2251063,,citation_precision=0.4561; citation_recall=0.6403; citation_support_rate=0.4083; document_recall_at_1=0.4556; document_recall_at_3=0.7056; map_completion_rate=0.7436; mrr=0.8306; required_document_coverage=0.5000; segment_recall_at_4=0.5764
